Reporting Year,Reporting Quarter,County,Reporting Organization,Reporting Organization ID,Total Capacity (Certified),Beginning Census,End Census,Male Census,Female Census,# of Residents Age 66-80,# of Residents  Age 81+,Total Admissions,Total Discharges
2017,4,Erie,Symphony Manor at Lancaster,240-F-892,117,82,78,35,43,27,25,,9
2017,4,Chautauqua,"Tanglewood Manor, Inc",060-F-036,158,130,134,45,89,51,62,14,10
2017,4,Rockland,Tappan Zee Manor,620-F-087,150,87,92,34,58,10,79,8,7
2017,4,New York,The 80th Street Residence,420-F-379,70,63,61,18,43,10,50,,8
2017,4,Erie,The Amberleigh,240-S-125,76,65,59,12,47,11,48,8,13
2017,4,Suffolk,The Arbors at Bohemia,700-F-913,200,144,134,41,93,21,113,12,26
2017,4,Suffolk,The Arbors at Hauppauge,700-F-916,200,130,130,48,82,20,109,15,15
2017,4,Suffolk,The Arbors at Islandia East,700-F-914,200,131,139,35,104,16,121,29,21
2017,4,Suffolk,The Arbors at Islandia West,700-F-915,200,110,108,28,80,20,85,14,16
2017,4,Nassau,The Arbors at Westbury,400-F-307,200,113,112,48,64,14,97,15,15
2017,4,Dutchess,The Avalon Assisted Living and Wellness Center,230-F-068,76,72,70,28,42,37,18,8,10
2017,4,Kings,The Belvedere,331-F-288,200,92,85,36,49,21,59,9,15
2017,4,Richmond,The Brielle at Seaview,610-E-012,188,72,87,32,55,22,65,22,10
2017,4,Westchester,The Bristal at Armonk,800-S-151,171,121,123,33,90,20,103,12,10
2017,4,Nassau,The Bristal at East Meadow,400-S-299,151,103,105,25,80,12,93,14,12
2017,4,Suffolk,The Bristal at East Northport,700-S-303,166,145,142,41,101,10,132,15,18
2017,4,Suffolk,The Bristal at Holtsville,700-S-309,166,83,97,24,73,21,76,26,12
2017,4,Suffolk,The Bristal at Lake Grove,700-S-311,155,122,130,36,94,26,103,24,16
2017,4,Nassau,The Bristal at Lake Success,400-F-337,110,44,56,13,43,13,43,22,10
2017,4,Nassau,The Bristal at Lynbrook,400-F-335,200,135,137,30,107,25,111,18,16
2017,4,Nassau,The Bristal at Massapequa,400-F-315,84,81,76,15,61,12,62,,9
2017,4,Nassau,The Bristal at North Hills,400-S-309,140,117,120,27,93,9,111,11,8
2017,4,Nassau,The Bristal at North Woodmere,400-S-304,155,107,110,21,89,9,101,19,16
2017,4,Suffolk,The Bristal at Sayville,700-F-302,155,136,133,26,107,26,107,16,19
2017,4,Nassau,The Bristal at Westbury,400-S-300,180,139,150,40,110,12,135,25,14
2017,4,Westchester,The Bristal at White Plains,800-S-145,190,146,145,39,106,15,130,14,16
2017,4,Westchester,The Country House in Westchester,800-F-007,100,53,48,12,36,7,41,9,19
2017,4,Erie,The Courtyards LLC,240-F-872,133,119,114,56,58,59,48,12,15
2017,4,Greene,The Eliot at Catskill,300-F-033,99,81,79,32,47,33,24,8,10
2017,4,Oswego,The Gardens by Morningstar,560-F-042,106,89,95,34,61,33,38,18,17
2017,4,Nassau,The Glen at Maple Pointe,400-F-320,60,59,57,16,41,9,48,10,11
2017,4,Nassau,The Glen at Maple Pointe,400-S-316,83,72,77,15,62,8,69,7,7
2017,4,Broome,The Hearth at Castle Gardens,030-S-044,106,78,77,26,51,12,63,9,12
2017,4,Onondaga,The Hearth at Greenpoint Senior Living,520-S-129,139,131,135,48,87,19,112,24,20
2017,4,Westchester,The Kensington,800-F-988,130,123,110,34,76,16,92,,15
2017,4,Suffolk,The Lake Shore Assisted Living Residence,700-F-893,200,117,115,47,68,45,64,9,11
2017,4,Monroe,The Landing at Brighton,370-S-195,121,71,71,19,52,8,59,11,11
2017,4,Dutchess,The Landing of Poughkeepsie,230-S-003,121,92,94,20,74,14,78,16,14
2017,4,Genesee,The Manor House,290-S-003,60,44,39,8,31,7,31,,9
2017,4,Schuyler,The New Falls,670-F-006,111,86,84,32,52,39,30,11,13
2017,4,Westchester,The Osborn,800-S-141,103,81,86,16,70,8,78,9,7
2017,4,Rensselaer,The Pines at Heartwood,600-F-250,86,74,75,24,51,30,27,13,7
2017,4,Putnam,The Plaza at Clover Lake,580-F-001,175,127,132,32,100,38,87,14,10
2017,4,Westchester,The Springvale Inn,800-S-129,125,83,92,27,65,21,70,21,12
2017,4,Monroe,The Village at Mill Landing,370-S-859,150,55,67,16,51,8,59,20,8
2017,4,Bronx,The W Assisted Living at Riverdale,020-F-133,256,204,184,122,62,77,7,,23
2017,4,Kings,The Waterford on the Bay,331-F-272,200,167,160,64,96,45,109,14,21
2017,4,Steuben,Updyke's Willow Ridge Quality Care Facility,690-F-035,40,35,34,9,25,11,22,19,16
2017,4,Ulster,Valley Vista Adult Home and Assisted Living Program,740-F-076,89,81,82,27,55,33,35,14,13
2017,4,Cortland,Walden Place,210-F-030,86,55,63,18,45,9,53,16,8
2017,4,Westchester,Westchester Center for Independent and Assisted Living,800-F-990,195,195,195,82,113,98,68,13,13
2017,4,Westchester,Willow Towers EHP,800-S-131,150,134,130,40,90,16,113,12,15
2017,4,Chemung,Woodbrook,070-E-011,80,68,65,15,50,9,55,7,10
2017,4,Monroe,Woodcrest Commons,370-E-198,120,91,90,35,55,31,55,9,10
2017,4,Suffolk,Woodhaven Home for Adults,700-F-905,181,155,160,55,105,70,50,21,15
2017,3,Erie,"Absolut at Orchard Brooke, LLC",240-F-878,80,74,77,22,55,30,40,11,9
2017,3,Kings,Amber Court of Brooklyn,331-F-284,224,210,209,132,77,124,80,16,17
2017,3,Bronx,Amber Court of Pelham Gardens,020-F-817,200,194,196,97,99,110,85,15,13
2017,3,Nassau,Amber Court of Westbury,400-F-331,64,62,56,10,46,11,45,,7
2017,3,Nassau,Amber Court of Westbury,400-F-325,225,182,181,33,148,62,118,17,21
2017,3,Rockland,Assisted Living at Northern Riverview,620-E-019,105,104,104,38,66,38,34,9,9
2017,3,Suffolk,Atria Bay Shore,700-S-305,116,77,75,60,15,12,62,14,16
2017,3,Westchester,Atria Briarcliff Manor,800-F-996,200,88,84,12,72,8,76,11,16
2017,3,Albany,Atria Delmar Place,000-S-008,106,100,94,28,66,11,82,,9
2017,3,Suffolk,Atria East Northport,700-F-929,200,153,158,52,106,27,131,22,17
2017,3,Queens,Atria Forest Hills,590-S-313,90,80,81,25,56,18,60,11,10
2017,3,Albany,Atria Guilderland,000-F-308,120,82,86,24,62,9,75,17,13
2017,3,Suffolk,Atria Huntington,700-F-931,198,78,87,18,69,12,74,18,10
2017,3,Nassau,Atria Lynbrook,400-F-326,200,116,106,36,70,19,83,,16
2017,3,Westchester,Atria on the Hudson,800-S-147,185,131,129,35,94,23,106,11,12
2017,3,Nassau,Atria Park of Great Neck,400-S-326,160,96,90,19,71,10,80,7,13
2017,3,Monroe,Atria Penfield,370-F-212,120,65,73,31,42,20,50,22,15
2017,3,Bronx,Atria Riverdale,020-S-001,195,192,181,45,136,32,146,14,27
2017,3,Albany,Atria Shaker,000-S-011,146,110,111,35,76,7,103,19,19
2017,3,Suffolk,Atria South Setauket,700-F-933,200,85,91,30,61,17,72,17,13
2017,3,Nassau,Atria Tanglewood,400-F-306,160,118,121,34,87,13,108,15,12
2017,3,New York,Atria West 86,420-S-389,189,166,169,51,118,28,139,19,16
2017,3,Saratoga,Beacon Pointe Memory Care Community,640-F-042,52,48,52,17,35,13,36,8,9
2017,3,Queens,Belle Harbor Manor,590-E-293,162,147,145,94,51,65,12,7,9
2017,3,Chemung,Bethany Village,070-E-002,144,103,105,28,77,14,89,15,13
2017,3,Queens,Boulevard ALP,590-S-317,239,208,208,73,135,37,168,14,14
2017,3,Suffolk,Braemar Living at Medford,700-F-921,200,199,195,37,158,59,108,16,20
2017,3,Orange,Braemar Living at Wallkill,540-F-036,200,178,189,51,138,62,109,24,13
2017,3,Queens,Brandywine Assisted Living at The Savoy,590-S-305,160,147,144,46,98,9,135,10,14
2017,3,Niagara,"Briarwood Manor, Inc.",500-F-092,160,96,92,25,67,25,62,,7
2017,3,Westchester,Brightview Tarrytown,800-F-131,107,99,101,31,70,16,85,14,12
2017,3,Erie,"Bristol Village, Inc.",240-S-107,110,81,84,14,70,12,72,12,8
2017,3,Erie,Brompton Heights,240-F-133,200,140,136,58,78,16,114,24,27
2017,3,Bronx,Bronxwood,020-E-004,320,286,283,189,94,170,57,22,25
2017,3,Erie,Brookdale Bassett Road,240-F-882,105,54,53,13,40,12,41,,7
2017,3,Onondaga,Brookdale Bellevue,520-F-163,91,42,52,20,32,7,45,19,13
2017,3,Albany,Brookdale Colonie,000-F-306,94,89,88,35,53,20,64,9,13
2017,3,Schenectady,Brookdale East Niskayuna,650-F-101,52,44,44,16,28,20,24,11,15
2017,3,Onondaga,Brookdale Fayetteville,520-F-145,52,45,47,17,30,10,37,10,9
2017,3,Erie,Brookdale Kenmore,240-S-113,120,89,93,14,79,18,73,13,8
2017,3,Chautauqua,Brookdale Lakewood,060-S-001,100,73,62,20,42,10,52,12,21
2017,3,Niagara,Brookdale Niagara Memory Care,500-F-095,40,39,38,8,30,9,29,10,13
2017,3,Schenectady,Brookdale Niskayuna,650-S-071,110,86,93,40,53,10,81,26,24
2017,3,Steuben,Brookdale Painted Post,690-F-044,110,79,79,22,57,20,59,9,9
2017,3,Broome,Brookdale Vestal East,030-F-054,116,41,42,11,31,7,34,,9
2017,3,Erie,Brookdale Williamsville,240-F-851,52,45,44,16,28,9,35,9,10
2017,3,Kings,Brooklyn Adult Care Center,331-F-278,210,206,204,155,49,89,8,16,18
2017,3,Kings,Brooklyn Terrace,331-F-290,200,195,195,143,52,66,7,12,12
2017,3,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,85,80,83,16,67,10,72,12,9
2017,3,Queens,Castle Senior Living At Forest Hills,590-S-307,177,163,164,57,107,66,91,8,7
2017,3,Queens,"Central Assisted Living, LLC",590-F-322,186,185,183,101,82,99,24,14,16
2017,3,Monroe,Cobbs Hill Manor,370-F-242,118,38,59,25,34,29,10,31,10
2017,3,Monroe,Crimson Ridge Gardens,370-F-226,52,46,48,11,37,10,37,17,15
2017,3,Erie,Dosberg Manor,240-E-141,96,65,73,20,53,15,58,18,9
2017,3,Erie,Eden Heights,240-F-900,120,82,77,17,60,11,65,13,20
2017,3,Cattaraugus,Eden Heights of Olean,040-F-028,120,74,88,21,67,11,75,23,13
2017,3,Erie,Eden Heights of West Seneca,240-F-848,120,90,96,31,65,19,72,16,12
2017,3,Erie,Elderwood Assisted Living at Hamburg,240-S-117,103,93,87,12,75,29,58,8,14
2017,3,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,95,97,19,78,17,80,13,11
2017,3,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,102,102,15,87,8,93,8,9
2017,3,Queens,Elm York Home for Adults,590-F-319,262,262,260,130,130,120,22,10,12
2017,3,Monroe,Emeritus at the Landing of Brockport,370-S-849,110,93,96,33,63,16,79,11,12
2017,3,Warren,Emeritus at the Landing of Queensbury,750-S-003,88,77,79,27,52,13,65,16,14
2017,3,Rensselaer,Fawn Ridge Senior Living,600-F-248,155,105,96,65,31,35,7,,12
2017,3,Westchester,Five Star Premier Residences of Yonkers,800-S-143,84,73,78,19,59,7,71,27,17
2017,3,Herkimer,Foltsbrook Center for Senior Living,320-E-008,80,64,60,18,42,22,26,10,8
2017,3,Chautauqua,Fredonia Place,060-S-003,84,71,75,30,45,11,62,12,7
2017,3,Chautauqua,Frewsburg Rest Home,060-F-035,81,54,50,21,29,8,35,,8
2017,3,Kings,Garden of Eden Assisted Living Program,331-F-280,202,183,186,111,75,53,10,12,9
2017,3,Genesee,Genesee Adult Home,290-F-007,80,48,51,18,33,13,30,12,8
2017,3,Erie,Glenwell,240-E-146,120,102,95,28,67,29,60,,11
2017,3,Monroe,Grande'Vie Senior Living Community,370-F-231,178,95,96,36,60,21,73,22,18
2017,3,Monroe,Grande'ville Senior Living Community,370-F-230,140,101,104,28,76,8,96,26,21
2017,3,Erie,GreenField Terrace,240-E-013,56,45,41,8,33,10,30,,10
2017,3,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-S-289,200,148,156,47,109,11,145,23,15
2017,3,Otsego,Hampshire House Adult Home,570-F-048,65,54,55,16,39,16,38,11,11
2017,3,Nassau,Harbor House,400-F-305,136,121,119,48,71,31,86,11,12
2017,3,Richmond,Harbor Terrace Adult Home and Assisted Living,610-F-064,363,293,288,183,105,98,20,15,19
2017,3,Kings,Harbor View Home for Adults,331-F-282,162,92,89,37,52,20,60,,10
2017,3,Monroe,Heather Heights of Pittsford,370-F-220,120,96,96,34,62,17,78,23,20
2017,3,Monroe,Heathwood Assisted Living at Penfield,370-S-852,151,93,96,25,71,16,78,27,18
2017,3,Erie,Heathwood Assisted Living at Williamsville,240-F-881,115,104,98,23,75,10,87,36,17
2017,3,Dutchess,"Hedgewood ALP, LLC",230-F-082,192,189,192,132,60,74,14,17,13
2017,3,Montgomery,Hillcrest Spring Residential,380-F-043,80,76,74,16,58,7,67,13,16
2017,3,Broome,Hilltop Manor West,030-E-008,98,92,90,10,80,10,78,,9
2017,3,Monroe,Hilton East Assisted Living,370-F-208,205,142,152,50,102,58,71,24,14
2017,3,Saratoga,Home of the Good Shepherd at Highpointe,640-E-036,86,75,77,17,60,16,61,9,8
2017,3,Ontario,Horizons,530-E-051,76,54,57,8,49,23,34,10,8
2017,3,Schenectady,Ingersoll Place,650-E-007,78,69,66,20,46,13,53,8,10
2017,3,Nassau,Island Assisted Living,400-E-295,200,190,192,71,121,79,79,19,17
2017,3,Albany,Kenwood Manor,000-E-282,67,57,54,22,32,18,32,,7
2017,3,Schenectady,"Kingsway Manor, LLC",650-F-103,140,113,117,30,87,13,104,24,20
2017,3,Monroe,Legacy at Cranberry Landing,370-F-252,78,53,47,15,32,7,39,,12
2017,3,Nassau,Long Beach Assisted Living,400-F-301,200,188,187,121,66,88,21,23,24
2017,3,Tompkins,"Longview, an Ithacare Community",730-E-002,96,82,77,23,54,19,51,,11
2017,3,Onondaga,Loretto Village Apts. Enriched Housing Site #5,520-S-120,79,78,77,22,55,9,68,7,8
2017,3,New York,Lott Assisted Living Residence,420-S-391,131,123,125,49,76,42,83,9,7
2017,3,Albany,Loudonville Assisted Living Residence,000-F-304,105,87,86,20,66,20,66,10,7
2017,3,Queens,"Madison York Assisted Living Community, LLC",590-F-320,226,213,214,117,97,123,59,15,17
2017,3,Queens,Madison York Home for Adults,590-F-321,202,202,191,123,68,106,30,,18
2017,3,Allegany,Manor Hills,010-F-017,137,111,111,35,76,30,76,9,9
2017,3,Westchester,Maplewood Commons,800-S-149,80,45,48,18,30,35,13,10,7
2017,3,Richmond,"Mariners Residence, Inc.",610-F-066,270,200,203,129,74,112,21,17,14
2017,3,Erie,Mary Agnes Manor ALP,240-F-868,230,191,188,91,97,102,62,17,20
2017,3,Chautauqua,Memory Garden,060-F-040,56,46,50,16,34,12,35,12,8
2017,3,Kings,Mermaid Manor Home for Adults,331-F-276,200,197,196,133,63,101,14,8,8
2017,3,Livingston,Morgan Estates,350-F-008,78,61,62,14,48,7,54,9,9
2017,3,Niagara,Mount View Assisted Living,500-F-105,150,135,133,39,94,49,71,18,20
2017,3,Ulster,Mountain Valley Manor,740-F-078,53,47,46,12,34,8,38,,8
2017,3,Richmond,New Broadview Home For Adults,610-F-067,200,181,184,98,86,92,38,18,15
2017,3,Westchester,New Rochelle Home for Adults,800-F-132,250,226,226,165,61,71,7,9,9
2017,3,Cayuga,North Brook Heights Home for Adults,050-F-022,178,87,104,38,66,36,48,13,10
2017,3,Kings,Norwegian Christian Home and Health Care Center,331-E-030,88,79,77,22,55,18,55,,7
2017,3,Erie,Orchard Heights,240-F-884,200,135,137,39,98,22,115,27,25
2017,3,Erie,Peregrine's Landing Senior Community,240-S-109,112,92,91,28,63,14,72,18,20
2017,3,Fulton,Pineview Commons H.F.A.,280-F-034,94,83,78,18,60,29,46,8,13
2017,3,Oneida,Presbyterian Residential Community,510-E-065,96,94,91,28,63,18,71,12,17
2017,3,Rockland,Promenade at Chestnut Ridge,620-F-081,198,85,92,23,69,12,78,12,9
2017,3,Orange,Promenade at Middletown,540-F-032,163,132,131,36,95,17,113,16,16
2017,3,Ontario,Quail Summit,530-S-001,55,46,45,13,32,9,36,8,10
2017,3,Queens,Queens Adult Care Center,590-F-309,352,351,344,242,102,143,21,11,18
2017,3,Otsego,Robynwood Home for Adults,570-F-053,49,38,34,12,22,12,15,,7
2017,3,Monroe,Rochester Presbyterian Home,370-E-022,102,86,88,22,66,20,63,11,10
2017,3,Nassau,Rosewood on the Sound,400-F-333,50,44,45,18,27,16,25,9,8
2017,3,Monroe,Sage Harbor Baywinde,370-F-236,88,66,65,16,49,10,55,10,13
2017,3,Jefferson,Samaritan Summit Village,330-E-005,120,108,111,36,75,30,74,12,9
2017,3,Ontario,Seneca Lake Terrace Assisted Living Center,530-F-059,66,59,58,17,41,8,48,9,9
2017,3,Monroe,Shire Senior Living Assisted Living Program,370-F-240,200,173,168,97,71,79,36,20,26
2017,3,Nassau,Somerset Gardens,400-S-318,160,139,141,39,102,17,119,21,19
2017,3,Westchester,St. Michael's Home,800-E-038,60,50,48,15,33,11,36,,7
2017,3,Kings,Sunrise at Mill Basin,331-S-011,142,113,116,25,91,23,92,32,33
2017,3,Suffolk,Sunrise of Dix Hills,700-F-923,114,81,88,26,62,11,77,15,8
2017,3,Suffolk,Sunrise of East Setauket,700-F-926,109,104,98,25,73,7,90,7,11
2017,3,Westchester,Sunrise of Fleetwood,800-F-995,136,99,99,40,59,19,77,12,9
2017,3,Rockland,Sunrise of New City,620-F-089,120,78,74,18,56,8,66,10,18
2017,3,Nassau,Sunrise of North Lynbrook,400-F-328,138,105,104,29,75,28,71,14,14
2017,3,Richmond,Sunrise of Staten Island,610-S-003,121,90,99,31,68,19,78,13,9
2017,3,Suffolk,Sunrise of West Babylon,700-F-924,109,104,105,20,85,18,86,10,9
2017,3,Queens,"Sutton Gardens, LLC",590-F-326,47,46,45,24,21,22,18,,11
2017,3,Chautauqua,"Tanglewood Manor, Inc",060-F-036,158,133,130,44,86,50,58,10,12
2017,3,Rockland,Tappan Zee Manor,620-F-087,150,88,88,33,55,19,66,9,7
2017,3,Erie,The Amberleigh,240-S-125,76,60,65,17,48,10,55,18,12
2017,3,Suffolk,The Arbors at Bohemia,700-F-913,200,142,144,42,102,24,120,11,9
2017,3,Suffolk,The Arbors at Hauppauge,700-F-916,200,137,131,47,84,18,112,12,17
2017,3,Suffolk,The Arbors at Islandia East,700-F-914,200,123,131,33,98,15,114,23,14
2017,3,Suffolk,The Arbors at Islandia West,700-F-915,200,104,110,32,78,20,86,18,11
2017,3,Nassau,The Arbors at Westbury,400-F-307,200,119,110,33,77,15,84,14,23
2017,3,Dutchess,The Avalon Assisted Living and Wellness Center,230-F-068,76,71,72,26,46,34,23,8,7
2017,3,Kings,The Belvedere,331-F-288,200,97,92,33,59,24,60,8,13
2017,3,Westchester,The Bristal at Armonk,800-S-151,171,124,121,29,92,18,103,14,17
2017,3,Nassau,The Bristal at East Meadow,400-S-299,151,103,103,27,76,16,87,11,11
2017,3,Suffolk,The Bristal at Holtsville,700-S-309,166,66,83,19,64,21,62,25,8
2017,3,Suffolk,The Bristal at Lake Grove,700-S-311,155,120,122,33,89,24,97,15,13
2017,3,Nassau,The Bristal at Lynbrook,400-F-335,200,134,135,27,108,22,112,16,15
2017,3,Nassau,The Bristal at North Hills,400-S-309,140,119,117,26,91,10,107,8,10
2017,3,Nassau,The Bristal at North Woodmere,400-S-304,155,109,108,23,85,9,99,8,9
2017,3,Suffolk,The Bristal at Sayville,700-F-302,155,129,136,23,113,22,114,17,10
2017,3,Nassau,The Bristal at Westbury,400-S-300,180,141,140,36,104,12,125,18,19
2017,3,Westchester,The Bristal at White Plains,800-S-145,190,149,146,40,106,14,132,10,13
2017,3,Erie,The Courtyards LLC,240-F-872,133,118,119,58,61,65,45,12,10
2017,3,Greene,The Eliot at Catskill,300-F-033,99,81,81,34,47,30,26,10,10
2017,3,Oswego,The Gardens by Morningstar,560-F-042,106,79,94,36,58,33,38,21,7
2017,3,Broome,The Hearth at Castle Gardens,030-S-044,106,77,78,26,52,17,58,10,8
2017,3,Onondaga,The Hearth at Greenpoint Senior Living,520-S-129,139,119,131,47,84,16,111,23,17
2017,3,Westchester,The Kensington,800-F-988,130,123,122,39,83,16,102,11,13
2017,3,Suffolk,The Lake Shore Assisted Living Residence,700-F-893,200,118,117,45,72,46,65,14,15
2017,3,Monroe,The Landing at Brighton,370-S-195,121,77,71,21,50,13,54,11,17
2017,3,Dutchess,The Landing of Poughkeepsie,230-S-003,121,92,92,23,69,11,80,20,21
2017,3,Schuyler,The New Falls,670-F-006,111,84,86,33,53,41,36,10,8
2017,3,Westchester,The Osborn,800-S-141,103,84,81,15,66,10,71,9,12
2017,3,Rensselaer,The Pines at Heartwood,600-F-250,86,75,74,19,55,33,25,13,11
2017,3,Putnam,The Plaza at Clover Lake,580-F-001,175,125,127,33,94,37,82,16,14
2017,3,Westchester,The Seabury at Fieldhome,800-E-132,85,78,77,16,61,8,68,8,9
2017,3,Monroe,The Village at Mill Landing,370-S-859,150,44,55,14,41,7,48,18,7
2017,3,Bronx,The W Assisted Living at Riverdale,020-F-133,256,210,203,131,72,92,7,10,17
2017,3,Orange,The W Senior Living at Goshen,540-F-038,120,48,45,15,30,15,22,,9
2017,3,Kings,The Waterford on the Bay,331-F-272,200,171,168,73,95,46,114,12,14
2017,3,Ulster,Valley Vista Adult Home and Assisted Living Program,740-F-076,89,77,81,29,52,33,35,21,17
2017,3,Cortland,Walden Place,210-F-030,82,59,57,19,38,10,47,12,7
2017,3,Westchester,Westchester Center for Independent and Assisted Living,800-F-990,195,192,195,82,113,99,67,22,19
2017,3,Westchester,Willow Towers EHP,800-S-131,150,128,124,39,85,15,109,11,13
2017,3,Suffolk,Woodhaven Home for Adults,700-F-905,181,157,155,52,103,72,51,12,16
2017,2,Kings,Amber Court of Brooklyn,331-F-284,224,213,210,80,130,125,80,15,18
2017,2,Bronx,Amber Court of Pelham Gardens,020-F-817,200,194,194,95,99,110,83,13,13
2017,2,Nassau,Amber Court of Westbury,400-F-325,225,192,189,34,155,29,160,21,26
2017,2,Westchester,Atria Briarcliff Manor,800-F-996,200,88,86,11,75,8,78,,14
2017,2,Albany,Atria Crossgate,000-S-009,84,57,57,24,33,7,48,15,11
2017,2,Albany,Atria Delmar Place,000-S-008,106,99,100,29,71,11,88,9,8
2017,2,Suffolk,Atria East Northport,700-F-929,200,154,153,49,104,24,128,21,23
2017,2,Queens,Atria Forest Hills,590-S-313,90,83,80,21,59,14,63,8,11
2017,2,Nassau,Atria Glen Cove,400-S-324,128,76,78,23,55,10,68,10,8
2017,2,Monroe,Atria Greece,370-F-210,79,74,67,12,55,7,59,11,17
2017,2,Albany,Atria Guilderland,000-F-308,120,85,82,21,61,9,71,14,17
2017,2,Suffolk,Atria Huntington,700-F-931,198,85,78,18,60,9,68,10,18
2017,2,Queens,Atria Kew Gardens,590-S-315,175,130,133,48,85,23,110,23,19
2017,2,Nassau,Atria Lynbrook,400-F-326,200,111,117,37,80,23,89,19,13
2017,2,Westchester,Atria on the Hudson,800-S-147,185,130,132,37,95,24,107,12,12
2017,2,Bronx,Atria Riverdale,020-S-001,195,189,193,53,140,37,153,10,10
2017,2,Albany,Atria Shaker,000-S-011,146,105,102,30,72,10,91,24,27
2017,2,Suffolk,Atria South Setauket,700-F-933,200,86,86,25,61,12,73,14,15
2017,2,New York,Atria West 86,420-S-389,189,160,166,51,115,28,136,30,23
2017,2,Saratoga,Beacon Pointe Memory Care Community,640-F-042,52,52,51,18,33,10,37,,8
2017,2,Queens,Belle Harbor Manor,590-E-293,162,149,147,94,53,66,12,,8
2017,2,Chemung,Bethany Village,070-E-002,144,104,103,28,75,14,87,13,15
2017,2,Suffolk,Birchwood Suites,700-F-943,101,79,78,27,51,18,52,9,10
2017,2,Oswego,Bishop's Commons at St. Luke,560-S-002,68,58,54,15,39,7,46,,8
2017,2,Queens,Boulevard ALP,590-S-317,239,206,208,73,135,35,172,14,12
2017,2,Suffolk,Braemar Living at Medford,700-F-921,200,195,199,38,161,63,112,16,12
2017,2,Orange,Braemar Living at Wallkill,540-F-036,200,172,178,48,130,58,100,24,21
2017,2,Niagara,"Briarwood Manor, Inc.",500-F-092,160,96,96,25,71,12,63,,9
2017,2,Westchester,Brightview Tarrytown,800-F-131,107,81,91,32,59,12,79,18,10
2017,2,Erie,Bristol Home,240-E-004,55,47,44,,44,13,23,7,7
2017,2,Erie,"Bristol Village, Inc.",240-S-107,110,82,81,12,69,13,68,9,10
2017,2,Erie,Brompton Heights,240-F-133,200,147,140,32,108,31,105,22,29
2017,2,Bronx,Bronxwood,020-E-004,320,286,286,187,99,182,57,21,21
2017,2,Erie,Brookdale Bassett Road,240-F-882,105,54,54,16,38,11,43,11,11
2017,2,Oneida,Brookdale Clinton,510-F-057,40,36,39,11,28,9,29,13,10
2017,2,Albany,Brookdale Colonie,000-F-306,94,90,92,32,60,32,58,12,13
2017,2,Schenectady,Brookdale East Niskayuna,650-F-101,52,47,45,25,20,18,27,14,17
2017,2,Monroe,Brookdale Fairport,370-F-233,80,43,39,14,25,9,28,10,9
2017,2,Erie,Brookdale Kenmore,240-S-113,120,86,90,29,61,16,74,21,15
2017,2,Chautauqua,Brookdale Lakewood,060-S-001,100,61,72,22,50,9,62,17,8
2017,2,Onondaga,Brookdale Liverpool,520-F-165,80,47,43,11,32,9,33,,9
2017,2,Schenectady,Brookdale Niskayuna,650-S-071,110,91,89,35,54,26,61,19,18
2017,2,Steuben,Brookdale Painted Post,690-F-044,110,73,79,23,56,19,60,14,8
2017,2,Monroe,Brookdale Pittsford,370-F-217,52,52,52,17,35,15,37,8,8
2017,2,Broome,Brookdale Vestal East,030-F-054,116,47,45,14,31,9,35,,7
2017,2,Erie,Brookdale Williamsville,240-F-851,52,45,45,17,28,8,37,13,13
2017,2,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,85,84,79,13,66,16,62,7,12
2017,2,Queens,Castle Senior Living At Forest Hills,590-S-307,177,163,163,56,107,67,91,9,9
2017,2,Queens,"Central Assisted Living, LLC",590-F-322,186,186,185,100,85,102,23,13,14
2017,2,Warren,Countryside Adult Home,750-N-006,48,34,30,10,20,10,15,,9
2017,2,Monroe,Crimson Ridge Gardens,370-F-226,52,44,46,12,34,10,33,13,12
2017,2,Rensselaer,Danforth Adult Care Center,600-F-244,80,70,72,20,52,34,31,8,7
2017,2,Erie,Dosberg Manor,240-E-141,96,71,65,19,46,10,55,14,18
2017,2,Erie,Eden Heights,240-F-900,120,85,84,21,63,11,72,8,9
2017,2,Cattaraugus,Eden Heights of Olean,040-F-028,120,80,74,18,56,16,62,11,17
2017,2,Erie,Eden Heights of West Seneca,240-F-848,120,95,91,23,68,18,69,9,14
2017,2,Erie,Elderwood Assisted Living at Hamburg,240-S-117,103,94,94,14,80,8,82,14,12
2017,2,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,98,95,15,80,13,82,10,14
2017,2,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,105,102,18,84,10,92,15,20
2017,2,Queens,Elm York Home for Adults,590-F-319,262,256,262,132,130,113,21,13,7
2017,2,Monroe,Emeritus at the Landing of Brockport,370-S-849,110,95,94,31,63,12,80,8,10
2017,2,Rensselaer,Fawn Ridge Senior Living,600-F-248,155,108,105,71,34,39,8,8,12
2017,2,Chautauqua,Fredonia Place,060-S-003,84,76,70,25,45,9,59,9,13
2017,2,Chautauqua,Frewsburg Rest Home,060-F-035,81,52,54,22,32,8,38,,8
2017,2,Kings,Garden of Eden Assisted Living Program,331-F-280,202,187,183,110,73,52,10,,8
2017,2,Erie,Glenwell,240-E-146,120,89,88,30,58,16,68,24,10
